time,open,high,low,close
2024-02-28T11:30:00+05:30,1.26591,1.26621,1.26234,1.26249
2024-02-28T15:30:00+05:30,1.26249,1.26575,1.26214,1.26436
2024-02-28T19:30:00+05:30,1.26436,1.26736,1.26362,1.26597
2024-02-28T23:30:00+05:30,1.26597,1.26637,1.2651,1.26612
2024-02-29T03:30:00+05:30,1.26612,1.26667,1.26486,1.2659
2024-02-29T07:30:00+05:30,1.2659,1.26712,1.2658,1.26663
2024-02-29T11:30:00+05:30,1.26663,1.26744,1.26522,1.26662
2024-02-29T15:30:00+05:30,1.26662,1.26743,1.26346,1.2651999999999999
2024-02-29T19:30:00+05:30,1.2651999999999999,1.26818,1.26149,1.26173
2024-02-29T23:30:00+05:30,1.26173,1.26277,1.26125,1.26243
2024-03-01T03:30:00+05:30,1.26243,1.26344,1.26119,1.26343
2024-03-01T07:30:00+05:30,1.26343,1.2635399999999999,1.26244,1.26261
2024-03-01T11:30:00+05:30,1.26261,1.2641499999999999,1.2625,1.263
2024-03-01T15:30:00+05:30,1.263,1.26469,1.26174,1.26303
2024-03-01T19:30:00+05:30,1.26303,1.26596,1.25996,1.26559
2024-03-01T23:30:00+05:30,1.26559,1.26638,1.26485,1.26545
2024-03-04T03:30:00+05:30,1.2648,1.26664,1.26467,1.26596
2024-03-04T07:30:00+05:30,1.26596,1.26666,1.26558,1.26624
2024-03-04T11:30:00+05:30,1.26624,1.2679799999999999,1.26609,1.26775
2024-03-04T15:30:00+05:30,1.26775,1.26836,1.26657,1.26775
2024-03-04T19:30:00+05:30,1.26775,1.27064,1.26728,1.26963
2024-03-04T23:30:00+05:30,1.26963,1.26976,1.26855,1.26916
2024-03-05T03:30:00+05:30,1.26916,1.26948,1.26843,1.26901
2024-03-05T07:30:00+05:30,1.26901,1.26909,1.26811,1.26833
2024-03-05T11:30:00+05:30,1.26833,1.26884,1.2671,1.26853
2024-03-05T15:30:00+05:30,1.26853,1.26926,1.26743,1.26912
2024-03-05T19:30:00+05:30,1.26912,1.27349,1.26866,1.2711
2024-03-05T23:30:00+05:30,1.2711,1.27111,1.26958,1.27052
2024-03-06T03:30:00+05:30,1.27052,1.27081,1.269,1.26926
2024-03-06T07:30:00+05:30,1.26926,1.27067,1.26915,1.27035
2024-03-06T11:30:00+05:30,1.27035,1.27314,1.27024,1.27307
2024-03-06T15:30:00+05:30,1.27307,1.27308,1.27052,1.2724
2024-03-06T19:30:00+05:30,1.2724,1.27619,1.27162,1.2744199999999999
2024-03-06T23:30:00+05:30,1.2744199999999999,1.27536,1.27252,1.27308
2024-03-07T03:30:00+05:30,1.27308,1.27397,1.27265,1.27302
2024-03-07T07:30:00+05:30,1.27302,1.27406,1.27229,1.27336
2024-03-07T11:30:00+05:30,1.27336,1.27512,1.27292,1.27499
2024-03-07T15:30:00+05:30,1.27499,1.27626,1.27448,1.2752
2024-03-07T19:30:00+05:30,1.2752,1.27982,1.27488,1.27919
2024-03-07T23:30:00+05:30,1.27919,1.28109,1.27914,1.28081
2024-03-08T03:30:00+05:30,1.28081,1.28199,1.27997,1.28089
2024-03-08T07:30:00+05:30,1.28089,1.28122,1.28041,1.28094
2024-03-08T11:30:00+05:30,1.28094,1.28293,1.2801,1.28272
2024-03-08T15:30:00+05:30,1.28272,1.28938,1.2823,1.28638
2024-03-08T19:30:00+05:30,1.28638,1.28863,1.28432,1.28491
2024-03-08T23:30:00+05:30,1.28491,1.28586,1.28398,1.28549
2024-03-11T02:30:00+05:30,1.28536,1.28609,1.28476,1.28561
2024-03-11T06:30:00+05:30,1.28561,1.2862,1.28454,1.28512
2024-03-11T10:30:00+05:30,1.28512,1.28579,1.28315,1.28363
2024-03-11T14:30:00+05:30,1.28363,1.28538,1.28242,1.28242
2024-03-11T18:30:00+05:30,1.28242,1.283,1.2795,1.28068
2024-03-11T22:30:00+05:30,1.28068,1.28138,1.27996,1.28135
2024-03-12T02:30:00+05:30,1.28135,1.2822,1.27996,1.28163
2024-03-12T06:30:00+05:30,1.28163,1.28226,1.28135,1.28189
2024-03-12T10:30:00+05:30,1.28189,1.28233,1.27759,1.27858
